"KEY","ATOM_NAME","DESCRIPTION","UPDATED_AT","REFERENCE","TEXT","VARS","ID",
"sum","","",2019-07-17 03:02:00.000000000,"","sum","",1,
"average","","",2019-05-07 10:59:00.000000000,"fun","average","",2,
"min","","",2019-05-07 10:58:00.000000000,"fun","min","",3,
"forEach","","",2019-05-07 10:58:00.000000000,"fun","for each","",4,
"occupantLoad","","floorArea/occupantDensity",2019-04-15 04:55:00.000000000,"fun","occupant load","occupantDensity,floorArea",5,
"exist","","",2019-04-01 00:05:00.000000000,"fun","exist","",6,
"max","","",2019-04-01 00:02:00.000000000,"fun","max","",7,
"count","","",2019-04-01 00:02:00.000000000,"fun","count","",8,
"ex1","","((var1+var2+var3)*var4)/(var8-(var5+var6+var7))",2019-03-31 10:48:00.000000000,"fun","ex 1","a,b,c,d,e,f,g,h",9,
"status","","",2019-03-30 15:32:00.000000000,"fun","status","",10,
"useExample","useExample","LRMl Editor - ",2023-02-12 22:57:40.580860000,"TEST","use example","",11,
"test","test","LRMl Editor - Stefan",2023-02-26 21:17:28.965400000,"NZ_NZBC-G14VM1#2.6","test","",101,
"compare","compare","LRMl Editor - Stefan",2023-02-26 22:29:49.410704000,"NZ_NZBC-G14VM1#2.6","compare","",102,
"topOf","topOf","LRMl Editor - Stefan",2023-03-05 03:39:01.525284000,"NZ_NZBC-G13AS2#2.7","top of","",121,
